P03601,P03602,P03203,R026-0201,R026-0202,R026-0203,R026-0204,R026-0205
2024,P11,P03,"R.R. TELEVISIÓN Y VALORES PARA LA INNOVA CIÓN, S.A. DE C.V.",NA,Sí,NA,No
2024,P11,P03,RADIO PUBLICIDAD  XHMEXICO,NA,Sí,NA,No
2024,P11,P03,Radiotelevisión de Veracruz,NA,Sí,NA,No
2024,P11,P03,"RCG ESPECTACULARES, S.A DE C.V.",NA,Sí,NA,No
2024,P11,P05,Servicios Satelitales SSL S.A. de C.V.,NA,Sí,NA,No
2024,P11,P03,"SISTEMA CHIAPANECO DE RADIO, TELEVISION Y CINEMATOGRAFIA",NA,Sí,NA,No
2024,P11,P03,SISTEMA DE RADIO Y TELEVISIÓN DE NUEVO LEÓN,NA,Sí,NA,No
2024,P11,P03,SISTEMA ESTATAL DE TELEVISION SONORENSE,NA,Sí,NA,No
2024,P11,P03,Sistema Jalisciense de Radio y Televisión,NA,Sí,NA,No
2024,P11,P03,Sistema Michoacano de Radio y Televisión,NA,Sí,NA,No
2024,P11,P03,"Sistema Tele Yucatan, S.A. de C.V.",NA,No,NA,No
2024,P11,P03,"Stereorey México, S.A.",NA,Sí,NA,No
2024,P11,P05,Tangerine Electronics S.A. de C.V.,NA,Sí,NA,No
2024,P11,P03,TELE SALTILLO S.A. DE C.V.,NA,Sí,NA,Sí
2024,P11,P05,"TELEVISA PRODUCCIONES, S.A. DE C.V",NA,No,NA,Sí
2024,P11,P03,"Televisión Digital, S.A. de C.V.",NA,Sí,NA,No
2024,P11,P05,"Televisión Digital, S.A. de C.V.",NA,No,NA,Sí
2024,P11,P03,"TELEVISORA DE HERMOSILLO, S.A. DE C.V.",NA,No,NA,Sí
2024,P11,P03,"TV Azteca, S.A.B de C.V.",NA,Sí,NA,No
2024,P11,P03,UNIDAD DE TELEVISION DE GUANAJUATO,NA,Sí,NA,Sí
2024,P11,P05,NEXT TELEKOM,NA,Sí,NA,No
2024,P11,P03,GOBIERNO DEL ESTADO DE TLAXCALA,NA,Sí,NA,No
2024,P11,P03,Radio y Televisión de Hidalgo,NA,Sí,NA,Sí
2024,P11,P03,INSTITUTO ESTATAL DE RADIO Y TELEVISIÓN DE BAJA CALIFORNIA SUR,NA,Sí,NA,No
2024,P11,P03,"MEDIA DEPORTES MEXICO, S. DE R.L. DE C.V .",NA,Sí,NA,No
2024,P11,P03,"M&S Comunicaciones, S.A. de C.V.",NA,No,NA,Sí
2024,P11,P05,SISTEMA DE RADIO Y TELEVISION DE NAYARIT,NA,No,NA,Sí
2024,P12,P03,"AMX Contenido, S.A. de C.V.",NA,Sí,NA,No
2024,P12,P05,"Apco Networks, S.A. de C.V.",NA,Sí,NA,No
2024,P12,P03,"AXESS NET. SOLUTIONS MEXICO, S.A. DE C.V .",NA,Sí,NA,No
2024,P12,P05,"AXESS NET. SOLUTIONS MEXICO, S.A. DE C.V .",NA,Sí,NA,No
2024,P12,P03,"Cadena Radiodifusora Mexicana, S.A. de C.V.",NA,Sí,NA,No
2024,P12,P03,Comisión Federal de Electricidad,NA,Sí,NA,No
2024,P12,P03,Corporación Oaxaqueña de Radio y Televisión,NA,Sí,NA,Sí
2024,P12,P03,"Eminus, S.A. de C.V.",NA,No,NA,Sí
2024,P12,P05,"Groenpunt, S.A. de C.V.",NA,Sí,NA,No
2024,P12,P03,GRUPO ACIR RADIO S.A. DE C.V.,NA,Sí,NA,No
2024,P12,P05,"GRUPO W COM, S.A. DE C.V.",NA,Sí,NA,No
2024,P12,P03,"Medio Entertainment, S.A. de C.V.",NA,Sí,NA,No
2024,P12,P05,Multimedia CTI S.A. de C.V.,NA,Sí,NA,No
2024,P12,P05,Omnitracs de México S.A de C.V.,NA,Sí,NA,No
2024,P12,P03,"Productora y Comercializadora de Televis ión, S.A. de C.V.",NA,Sí,NA,No
2024,P12,P05,"Productora y Comercializadora de Televis ión, S.A. de C.V.",NA,No,NA,Sí
2024,P12,P03,"R.R. TELEVISIÓN Y VALORES PARA LA INNOVA CIÓN, S.A. DE C.V.",NA,Sí,NA,No
2024,P12,P03,RADIO PUBLICIDAD  XHMEXICO,NA,Sí,NA,No
