C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,NA
