C601,C003,R027-0501,R027-0502,R027-0503,R027-0504,R027-0505,R027-0506
2024,P240240001,NA,NA,NA,NA,NA,NA
2024,P240110001,NA,NA,NA,NA,NA,NA
2024,P240230003,NA,NA,NA,NA,NA,NA
2024,P240230018,NA,NA,NA,NA,NA,NA
2024,P240230020 ,NA,NA,NA,NA,NA,NA
2024,P240230026,NA,NA,NA,NA,NA,NA
2024,P240230031 ,NA,NA,NA,NA,NA,NA
2024,P240230040,NA,NA,NA,NA,NA,NA
2024,P240230011 ,NA,NA,NA,NA,NA,NA
2024,P240240044 ,NA,NA,NA,NA,NA,NA
2024,P240240046 ,NA,NA,NA,NA,NA,NA
2024,P240240037 ,NA,NA,NA,NA,NA,NA
2024,P240240040,NA,NA,NA,NA,NA,NA
2024,P240240043 ,NA,NA,NA,NA,NA,NA
2024,P240240061 ,NA,NA,NA,NA,NA,NA
2024,P240240058,NA,NA,NA,NA,NA,NA
2024,P240240056,NA,NA,NA,NA,NA,NA
2024,P240240059,NA,NA,NA,NA,NA,NA
2024,P240240064,NA,NA,NA,NA,NA,NA
2024,P240240071,NA,NA,NA,NA,NA,NA
2024,P240240072,NA,NA,NA,NA,NA,NA
2024,P240240073,NA,NA,NA,NA,NA,NA
2024,P240240075,NA,NA,NA,NA,NA,NA
2024,P240240080,NA,NA,NA,NA,NA,NA
2024,P240240077,NA,NA,NA,NA,NA,NA
2024,P240240081 ,NA,NA,NA,NA,NA,NA
2024,P240240087,NA,NA,NA,NA,NA,NA
2024,P240240089 ,NA,NA,NA,NA,NA,NA
2024,P240240086 ,NA,NA,NA,NA,NA,NA
2024,P240240095,NA,NA,NA,NA,NA,NA
2024,P240240100,NA,NA,NA,NA,NA,NA
2024,P240240122,NA,NA,NA,NA,NA,NA
2024,P240240185,NA,NA,NA,NA,NA,NA
2024,P240240316,NA,NA,NA,NA,NA,NA
2024,P240240004,NA,NA,NA,NA,NA,NA
2024,P240240009,NA,NA,NA,NA,NA,NA
2024,P240240018,NA,NA,NA,NA,NA,NA
2024,P240240021,NA,NA,NA,NA,NA,NA
2024,P240240035,NA,NA,NA,NA,NA,NA
2024,P240240036,NA,NA,NA,NA,NA,NA
2024,P240240051 ,NA,NA,NA,NA,NA,NA
2024,P240240052,NA,NA,NA,NA,NA,NA
2024,P240240063,NA,NA,NA,NA,NA,NA
2024,P240240194,NA,NA,NA,NA,NA,NA
2024,P240240259,NA,NA,NA,NA,NA,NA
2024,P240240151,NA,NA,NA,NA,NA,NA
2024,P240240071,NA,NA,NA,NA,NA,NA
2024,P240240014,NA,NA,NA,NA,NA,NA
2024,P240240067,NA,NA,NA,NA,NA,NA
2024,P240240164,NA,NA,NA,NA,NA,NA
2024,P240240039 ,NA,NA,NA,NA,NA,NA
2024,P240240036,NA,NA,NA,NA,NA,NA
2024,P240240517,NA,NA,NA,NA,NA,NA
2024,P240240180,NA,NA,NA,NA,NA,NA
2024,P240240453,NA,NA,NA,NA,NA,NA
2024,P240240501,NA,NA,NA,NA,NA,NA
2024,P240240023,NA,NA,NA,NA,NA,NA
2024,P240240054,NA,NA,NA,NA,NA,NA
2024,P240240341,NA,NA,NA,NA,NA,NA
2024,P240050015 ,NA,NA,NA,NA,NA,NA
2024,P240050017,NA,NA,NA,NA,NA,NA
2024,P240110003,NA,NA,NA,NA,NA,NA
2024,P240110005,NA,NA,NA,NA,NA,NA
2024,P240110011,NA,NA,NA,NA,NA,NA
2024,P240110013,NA,NA,NA,NA,NA,NA
2024,P240110016,NA,NA,NA,NA,NA,NA
2024,P240110022,NA,NA,NA,NA,NA,NA
2024,P240110035,NA,NA,NA,NA,NA,NA
2024,P240110095 ,NA,NA,NA,NA,NA,NA
2024,P240110166,NA,NA,NA,NA,NA,NA
2024,P240110135,NA,NA,NA,NA,NA,NA
2024,P240520015,NA,NA,NA,NA,NA,NA
2024,P240520010,NA,NA,NA,NA,NA,NA
2024,P240520009,NA,NA,NA,NA,NA,NA
2024,P240520006,NA,NA,NA,NA,NA,NA
2024,P240520002,NA,NA,NA,NA,NA,NA
2024,P240270042,NA,NA,NA,NA,NA,NA
2024,P240270066,NA,NA,NA,NA,NA,NA
2024,P240270040,NA,NA,NA,NA,NA,NA
