C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,706,NA,NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,798,NA,NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,831,NA,NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,864,NA,NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,958,NA,NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,1001,NA,NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,1049,NA,NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,1104,NA,NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,1165,NA,NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,1219,NA,NA,NA,NA,NA,NA,NA
